51081.287001 18.78 0.012
51819.358067 18.817 0.01
52558.323284 18.829 0.01
52577.210785 18.838 0.009
52586.214263 18.829 0.009
52910.294744 18.816 0.009
52931.224945 18.852 0.01
52935.221909 18.823 0.009
52959.165237 18.813 0.009
52963.144982 18.827 0.009
53313.215109 18.813 0.011
53352.116047 18.807 0.009
53622.324349 18.826 0.011
53634.273819 18.864 0.022
53636.279353 18.849 0.015
53638.315154 18.799 0.01
53655.25136 18.795 0.016
53664.276317 18.851 0.015
53666.239921 18.802 0.011
53669.235559 18.81 0.009
53671.320334 18.811 0.011
53674.219795 18.829 0.01
53676.309277 18.803 0.01
53679.281167 18.792 0.011
53681.27268 18.816 0.013
53685.23173 18.836 0.026
53694.24561 18.751 0.027
53697.229703 18.823 0.011
53700.228662 18.791 0.01
53705.215331 18.814 0.01
53975.300329 18.822 0.017
53993.368135 18.814 0.021
53994.323318 18.8 0.022
53996.307068 18.797 0.019
54005.305937 18.828 0.022
54010.261237 18.808 0.023
54012.254017 18.813 0.018
54020.260137 18.809 0.031
54024.341648 19.47 0.037
54028.250369 18.79 0.019
54030.253561 18.801 0.023
54035.329342 18.838 0.02
54037.234846 18.787 0.018
54040.24928 18.819 0.024
54047.279846 18.831 0.035
54049.275834 18.808 0.024
54053.240053 18.798 0.026
54056.241844 18.812 0.033
54062.240907 18.768 0.027
54068.221589 18.787 0.024
54357.279225 18.817 0.024
54382.309286 18.802 0.013
54385.327123 18.838 0.018
54387.327532 18.793 0.017
54392.322307 18.827 0.017
54402.320786 18.788 0.025
