51075.302706 23.291 0.624
52196.303207 22.885 0.42
52231.202298 22.653 0.306
52253.188469 21.792 0.31
52557.3103 23.57 0.97
52578.206384 24.194 0.935
52908.284865 23.637 0.891
52936.212693 22.431 0.259
52962.138215 23.97 0.903
53272.326697 22.413 0.411
53286.295416 22.525 0.456
53294.301581 22.602 0.378
53616.310667 22.169 0.774
53626.287091 23.278 0.738
53628.271956 21.875 0.539
53637.273572 21.85 0.432
53639.318949 22.822 0.487
53654.300643 23.304 0.722
53670.255998 23.613 0.802
53675.220871 22.886 0.447
53677.241902 24.604 0.918
53680.228568 23.597 0.78
53974.306464 22.825 0.374
53989.309874 22.253 0.675
53997.405481 21.54 0.32
54007.335463 23.202 0.623
54029.253065 21.719 0.308
54348.320476 21.914 0.305
54358.276321 23.632 0.915
54386.321231 23.372 0.803
54406.2331 22.962 0.367
