ra,dec
40.244998,-0.65959718
54.98916,1.1746686
45.516445,-1.068057
56.865534,0.24078423
26.929441,0.786734
51.134911,-0.45329192
50.3583,0.23314648
47.754754,-1.1580311
53.500782,1.1164376
47.706396,-1.176495
14.4221,-0.95990402
47.315687,0.39779215
49.062919,0.78778108
21.605637,-0.42590498
58.929075,-0.187035
49.835726,1.2148884
36.934021,0.245913
20.995419,0.38485668
34.775829,0.426723
35.165305,-0.68001722
56.912872,0.056243951
53.655312,1.2536968
27.224736,-0.547204
54.209362,-0.766069
54.501804,-0.792352
49.699715,1.203896
12.126353,0.2979987
1.8543232,-0.1308378
54.575772,-0.66729604
50.055562,0.90379107
32.290391,0.97694477
4.3153477,1.0545723
12.023112,0.607298
36.642403,-0.7198623
6.4768554,0.89589452
1.342052,-0.552651
5.2180414,0.081211295
2.9250962,0.99631085
38.507779,-1.0388026
4.3007156,-0.28739361
52.4041,-1.0431823
23.541582,0.352665
38.620872,-0.483188
33.895212,-0.278325
7.1382008,-0.1942555
25.280659,-0.358035
32.751438,0.72564204
0.89853961,0.63778283
4.4334584,0.96992167
18.109087,0.307604
10.290841,0.926148
12.6496,-1.25185
12.259039,1.230662
1.250963,1.175745
14.769163,0.25263592
48.334517,0.91980023
43.33577,-0.21112899
25.885858,-1.12411
10.978092,-0.940733
25.064824,1.1632304
34.703979,0.45684147
4.15248500000001,0.386221
29.209442,1.08378
23.257032,0.312946
56.426481,-0.0714836
9.15179160000002,-0.86161303
0.59696587,0.57906804
55.540546,-0.12900776
54.867101,0.20895763
22.361915,1.2133831
19.407393,-1.091174
36.928839,1.1012177
0.68563411,-0.73967955
1.21802289999999,0.84882688
8.3326264,0.42431067
16.525479,0.148285
25.292049,0.576528
1.631988,0.93349
35.201966,0.76450879
19.0388,1.1487176
53.280345,-1.062969
10.458864,-0.87792205
29.256437,-0.936956
46.149691,-0.40092961
0.750555780000013,-0.25055026
13.2515,0.26304501
11.440156,-0.665035
40.811012,0.98677896
15.219713,-0.25802226
9.8602717,1.0148601
21.865896,-1.050145
38.01724,0.73663723
13.9894,-0.14176799
10.638706,0.286439
17.515917,-0.466088
8.0989747,0.44116199
26.835275,1.2330803
9.6328655,0.56037699
13.258066,0.34524753
13.7766,0.73468399
11.63554,-0.137343
9.75268879999999,0.66069554
16.165415,0.47605299
27.475153,0.58284983
8.01057,0.49745617
36.691341,-1.1341501
35.353707,-0.34068858
8.091668,1.164759
16.571275,-0.454496
26.649959,0.68839558
8.4395288,-1.1954759
5.2338672,0.53319549
9.618276,0.615718
22.600159,0.141878
2.250015,-1.0218795
3.675354,0.937811
14.56122,0.543258
29.992113,-0.72031653
8.0129218,-0.094186024
29.47967,0.071151143
41.81834,1.06181
35.011064,0.024141
31.279902,0.287739
22.667817,0.55694265
12.802764,0.030326
4.0337729,0.98811087
24.955117,0.946541
30.831473,-1.0730511
4.343645,-0.594521
29.030843,0.868729
45.986031,-0.11900301
26.642589,1.000349
5.392911,-0.819111
20.372709,-0.30072546
4.14933610000003,-1.0607381
39.592551,-1.0440936
14.503614,-1.2029785
0.631452,-0.113231
1.725941,-0.107127
9.950214,0.617086
33.981715,-0.808981
10.569572,1.132001
8.5387351,-0.331765
52.827821,-0.118195
8.2568626,-0.020384347
7.81261699999999,1.2113087
0.824165,-0.097012
0.714494,-0.671747
29.669946,-0.021011
10.847936,0.064154
11.556559,-0.216343
9.894838,0.428657
26.75659,-0.638575
26.578832,-0.8639911
34.606033,-0.300797
16.338769,-0.93526177
12.7141,-0.0140942
15.0968,0.92022402
15.574099,0.41315
51.559944,-0.19463894
0.523969060000013,0.22112197
23.447527,1.145676
39.654994,-0.51335343
17.436304,-1.231435
1.3924836,-0.79218154
47.302372,-0.748229
21.506469,0.41145812
37.699302,0.21463197
50.037726,0.20291835
50.772083,0.72194006
17.363834,-0.676008
32.853076,1.0543376
40.611859,0.047641
16.30308,-0.081863412
49.78393,1.0103234
49.295151,0.44897851
8.157058,0.382748
54.354772,0.62668387
35.259544,-0.249117
15.812855,-0.206768
16.854745,0.999424
54.851558,0.82542173
6.1108298,-0.67213561
8.6357883,-0.79002089
30.490845,0.34921044
14.3565,0.149781
17.952059,-0.787583
55.101161,0.62500677
1.55469219999998,-0.80965576
37.522768,-0.24396176
10.864566,0.762648
14.295665,-0.82522763
2.813599,-0.37925
6.0761,0.758633
0.112851,0.832148
26.252421,-0.372119
30.736901,0.31513912
37.579513,-1.0377674
20.317047,0.33893673
10.345611,0.95986885
14.725527,0.94408815
29.133886,-0.219332
36.544329,0.17385717
28.398663,0.43772234
20.944481,-0.33676388
12.018933,-0.271574
18.146195,0.775018
21.207055,0.58342921
28.887856,-0.61412452
10.160236,0.038818
11.366416,0.334421
4.9525629,0.282603
7.31545,0.038589
17.028892,-0.323207
30.751088,-0.53597238
25.143655,0.903179
11.396684,0.959012
41.84963,0.54971
12.3897,1.1660399
35.085105,-0.537669
12.936,-0.74802001
6.2813316,-0.15847744
37.130813,-0.22920278
29.882867,0.069436
2.0726,-0.682728
21.628026,0.69047433
12.525867,-0.89917134
16.631577,0.131454
45.806177,0.391698
10.307939,0.667967
12.2422,-0.72789502
26.847597,0.18926285
14.0567,-0.951743
27.0967,-0.432764
8.8765363,0.26021502
2.54994340000002,1.2403297
17.717213,1.1656372
9.2479817,-0.75772157
16.755774,-0.694401
19.520923,0.62242771
39.169231,-0.96192964
0.407427,-0.597914
22.237397,-1.1860475
20.797285,-0.808877
29.209359,-0.83097986
9.5663139,-0.47554314
8.65910869999999,-0.1355499
2.62953700000003,1.02568
53.168274,0.440085
35.116431,0.73332946
6.5539728,0.13651529
34.971474,0.068129
10.401473,-1.128733
12.1314,0.18481299
14.487792,0.93069654
25.085013,-0.446504
11.449034,0.233219
3.868756,-0.59525
26.370208,-0.69844148
16.832313,-1.218222
11.054267,-0.83002004
9.7368406,0.74119699
8.1012491,-1.1823099
7.419256,-0.907121
51.908008,0.14289677
5.38725040000003,-1.1293525
14.802531,0.16179855
9.6156366,0.62065356
1.53285699999998,-1.0558876
26.535997,0.426141
21.273809,-0.48321041
14.731,0.62340897
40.367255,-0.72562883
36.168187,-0.762754
8.8945007,1.0262406
13.0149,0.97287799
4.841598,0.653694
24.977978,1.0499919
25.611837,-0.641647
13.756876,0.54221174
23.446593,0.05212664
9.810547,0.444097
16.008678,0.654449
10.980321,0.290457
32.364687,-1.1693204
29.032436,0.492606
6.559997,-0.420012
17.251215,1.165851
12.883248,0.3169047
19.251516,1.0838967
37.562668,0.730288
34.0451,-0.952507
9.2098223,-1.2136796
20.241587,0.46172072
9.6918702,1.1753525
10.195833,0.32631245
30.309504,0.269565
29.926648,0.2657187
17.004687,-0.890944
25.166981,-0.479222
16.055209,0.98939
11.422373,0.228929
10.034402,0.394066
34.466585,0.28826
15.201527,0.74865644
29.640828,-0.54813497
24.479197,-0.901879
7.7248384,-0.23768145
40.425615,-0.089442602
5.39543,-0.709902
12.8224,0.60550098
8.3217,0.27189
30.242703,0.182897
24.649294,0.273712
3.0328009,0.91283189
34.406877,0.107477
10.221482,-0.581255
8.1980917,-1.0840356
31.195492,0.45756927
15.8347,-0.84140699
29.408612,0.093671
10.876591,-0.244921
17.630342,0.19891715
18.143119,-1.2015589
16.055373,0.45362131
34.897383,-0.25589706
8.3519906,1.1142685
15.4447,-0.31030601
9.563871,-0.41769546
11.178774,-1.067312
11.2636,-0.752672
35.262508,-0.075203947
11.359254,1.100738
18.03336,-1.1989992
47.847811,0.213806
25.775822,-0.514002
26.999617,0.041578
26.403173,0.416515
25.143798,0.42286094
24.875707,0.277127
18.970363,0.84882801
34.856157,-1.122246
14.3737,-0.19968
52.776662,1.1519256
26.61953,0.216553
2.18605029999998,-0.3044246
41.427048,-1.2572219
26.313332,0.65835835
47.261418,-0.32415257
10.201514,1.139875
8.9696372,-0.3043635
10.868563,-0.283343
38.937553,0.039006
12.144015,0.417856
6.9814053,-0.74890109
23.867351,0.21837997
13.4476,0.64963901
0.533979219999992,-0.33575458
16.022141,1.0700894
4.461246,0.991358
48.164129,1.0743821
0.968861339999989,0.83990482
13.684807,0.18762089
8.8031476,0.62730216
30.53558,0.266138
16.433525,1.187989
30.306974,-1.174578
4.9338755,0.79648359
44.901911,1.1723626
0.747003,0.293212
0.17096478,0.84849847
38.710505,-0.5045636
17.993798,0.11660183
38.838877,-0.23022008
16.821285,0.199675
39.386629,0.33271722
7.7819964,-0.61996107
24.350995,-0.121176
12.198542,-0.79362482
11.359405,-0.831743
14.351776,0.572277
28.430195,-0.058821142
30.320672,0.93573751
3.9584053,0.231147
16.423735,-0.031252
13.935778,0.44362454
54.894805,-0.02504876
34.346098,-0.858398
8.60773130000001,-0.082245583
17.746201,0.82034651
53.223341,-0.868853
46.109254,0.862051
15.177376,-1.055348
45.690825,-0.12840724
1.656773,0.640143
15.976392,-0.812212
5.677537,1.00827
4.50858169999998,-0.84728704
13.237617,0.93935704
27.903251,1.01942
38.669072,-0.64453531
5.572103,0.783129
13.8196,0.96526599
39.982441,-0.05335704
10.579793,0.780115
11.701651,0.588485
26.315396,-1.135553
12.897494,-0.29512575
13.234271,-0.64202971
16.612213,0.982504
24.979214,-0.68845
26.860593,0.91643191
14.7279,-1.24085
3.342733,-0.314032
5.410869,-0.033088
27.892735,0.14732365
36.561815,-1.0759184
30.741373,1.1620641
4.240356,-0.986777
42.70428,-1.09667
10.402747,0.11684
36.668703,0.49065993
16.447258,0.54891951
16.43468,1.102794
45.770365,-0.1511434
17.912603,-0.869326
33.749515,-0.576434
11.502608,-0.77053067
35.712136,-0.89783399
34.353859,0.524278
53.252796,1.069533
31.241379,-0.124305
9.80651010000003,0.93021692
