ra,dec
323.39288,0.471309
324.91994,1.1762792
324.15411,-0.134603
338.3185,1.1453984
318.97789,0.19057026
316.84929,-0.858988
328.42155,-0.573171
322.42343,-0.162621
353.68658,0.99986912
332.04162,0.409853
310.41484,0.36752
317.32603,-1.029923
338.77372,-0.27763505
329.67054,-0.61974142
318.1705,0.080652
310.42496,-0.374351
338.46919,0.7650008
323.29743,0.239008
311.67863,0.3436
326.19222,-0.75703
310.78967,-0.967929
310.41757,0.290634
334.19669,-0.22274688
316.40189,0.171609
316.40238,-1.205704
310.56702,-1.188308
340.06155,-0.030939
328.50917,-0.721059
324.51955,1.086242
329.26813,0.426668
339.62213,-0.41010802
335.16181,0.075496814
310.86985,-0.602229
341.60312,1.189218
324.81663,-1.257005
316.15639,0.555986
318.09259,-0.736773
350.40649,-0.383262
331.45102,-1.1594769
336.75311,-0.93874449
348.46204,0.80477704
310.10364,-0.825856
318.41309,0.79720185
335.41507,0.83329847
325.9948,-0.246919
346.66086,-0.33716863
318.41896,0.008231
328.70913,-0.788704
337.2339,-0.3635691
328.19398,-0.384861
323.96918,-0.165181
311.11223,-0.039921
327.92826,-0.329185
321.35665,-0.86885254
339.9428,-0.30115053
316.96933,0.590438
322.88784,-0.662012
341.57289,0.911416
311.22208,-0.35765265
331.54743,0.078121
328.37504,-0.566589
329.04785,1.247433
340.73992,-0.219582
341.76506,-1.048785
316.47193,0.172547
317.99692,-0.159749
317.12556,-0.231539
353.08344,-0.21049737
346.06649,1.1495799
317.842,-0.661173
330.60127,0.445696
351.04285,1.014766
325.94994,0.503114
331.25466,0.47367566
330.12956,0.29909312
354.35013,-0.98068847
353.50092,0.43944127
322.70002,0.71609488
320.11519,0.90431546
356.70409,0.26929776
329.26998,0.392163
330.02222,0.472716
324.73142,0.375041
337.38815,-0.80930287
335.25125,0.38340025
338.96257,1.0768349
324.27056,-0.371828
311.40129,0.143656
312.01545,0.006058
340.03412,-0.492433
355.20578,1.119711
352.15365,-1.1384083
315.31238,0.496723
333.76043,-0.051734753
325.37076,-0.222972
332.13118,-0.61632009
316.51895,0.21667711
324.93962,1.074607
356.03714,0.836784
317.15826,0.707082
319.6086,0.47981691
325.20253,-1.0354717
344.22112,-0.22378645
317.78951,0.774623
310.41644,0.094865
333.55175,0.84009532
344.71258,1.1538868
328.05778,-0.54997571
326.0428,-0.730974
352.67325,0.903886
321.79287,1.1629482
343.32984,-0.81967958
339.99406,-0.196179
341.90119,0.621392
336.19703,0.25436826
351.1532,0.596095
323.22413,0.110306
335.6789,-0.82203258
341.95311,0.608838
324.90332,-0.928251
311.81518,0.798393
318.23899,-1.2352959
341.27011,0.085238
325.51661,-0.948613
356.6583,0.168988
338.57836,0.31637734
312.59461,0.33203215
341.30336,0.255043
312.26443,-0.19752981
311.65559,0.079849
317.57667,0.040518
328.9449,1.24931
356.22512,0.766064
321.36642,-0.807395
313.83157,0.31182089
353.45124,-0.38030433
324.73291,0.281588
327.56155,0.121437
336.28964,1.215077
342.13709,0.864379
359.17255,0.866642
357.42371,-0.057469
358.67686,1.0931051
324.78638,-0.174434
332.16141,-0.13327838
322.22217,0.89151317
322.0469,-0.153679
325.85651,-0.17712089
328.63368,1.129973
309.60055,0.679649
309.95842,-0.541554
330.9379,-0.53790133
351.29077,0.54237117
324.35252,1.2507294
340.84215,0.262546
320.15179,0.65624897
310.45578,0.59883413
327.35003,-0.534402
350.42001,-0.30358314
311.442,-0.834904
324.57052,0.7059143
334.78346,-0.49852273
317.11057,-0.609328
352.63388,0.36769498
327.58359,0.000116
335.44374,-0.12318257
316.88317,0.742023
327.57576,-0.199897
318.57418,0.4878359
327.61751,0.95284517
313.4046,0.170101
317.9134,0.19922703
339.91082,0.342452
343.48903,0.29399657
319.76042,0.0085721893
336.6421,-1.0884004
328.41191,-0.118401
322.37077,0.86405968
312.27313,-0.411201
317.00304,0.48278409
316.37563,0.568466
347.09654,0.19066951
311.80309,0.733796
336.07164,0.41635261
350.82768,-1.10768
318.15209,-0.395104
338.2418,0.077379988
329.44767,0.439126
320.13277,0.61339964
327.74851,0.007636
316.89975,1.012463
327.42966,0.47762
325.09027,-0.959677
321.40258,0.26614459
327.50555,1.027609
343.60318,0.31172152
311.45308,0.285784
327.65211,0.599336
329.21078,0.887164
322.54459,0.318432
338.84024,-1.239258
341.12355,0.071177
316.62161,-1.010223
326.70929,-0.400703
335.2148,-0.13874641
333.20785,0.70841798
316.26951,0.21350647
329.68459,-0.715919
325.34274,-0.010637
310.11856,0.664051
335.88537,-0.48462441
321.69332,-1.1533233
354.84834,0.680539
351.45418,-1.1616686
336.01562,-0.79552206
318.71344,-0.428875
314.71163,-1.1877135
340.30435,-0.019073225
331.70519,0.040798
327.66324,0.3399252
327.42937,0.737686
